TERM,MEANING,PRONOUNCED_AS
UHSA,unité hospitalière spécialement aménagée,
ULIS,unité localisée pour l'inclusion scolaire,Ulysse
UMASP,unité mobile d'accompagnement et de soins palliatifs,
UMB,unité mère-bébé,
UME,unité mère-enfant,
UMF,unité de médecine familiale,
UNACS,union nationale des associations citoyennes de santé,unacksse
UNAFAM,union nationale des familles et amis des maladies souffrant de troubles psychiatriques,une-affame
UNCAM,union nationale des caisses d'assurance maladie,
UR,urgence relative,
USI,unité de soins intensifs,üzi
USIC,unité de soins intensifs cardiologique,ü-zik
USIP,unité de soins intensifs de pneumologie,ü-zippe
USLD,unité de soins de longue durée,
USP,unité de soins palliatifs,
VAC,(thérapie par pression négative ou traitement des plaies par pression négative),vak
VACTREL,"syndrome de malformations vertébrales, atrésie anale, anomalies cardiaques, fistule trachéo-oesophagienne, anomalie rénale, anomalie des membres",vaktrel
VAD,visite à domicile,
VAS,voies aériennes supérieures,
VBEH,voies biliaires extrahépatiques,
VBIH,voies biliaires intrahépatiques,
VCI,veine cave inférieure,
VCO2,débit de CO2 expiré,
VCS,veine cave supérieure,
VD,ventricule droit,
VES,volume d'éjection systolique,
VHL,von Hippel-Lindau,
VM,valve mitrale ou ventilation mécanique,
VNI,ventilation non invasive,
VNR,valeur nutritionnelle de référence,
VS-PAP,ventilation spontanée en pression aspiration positive (CPAP en anglais),V-S-pappe
VS-PEP,ventilation spontanée avec pression expiratoire positive,V-S-peppe
VSAI,ventilation spontanée avec aide inspiratoire,
VSAV,"véhicule de secours et d'assistance aux victimes (depuis 2022, renommé VSSUAP, véhicule de secours et de soins d'urgence aux personnes)",
VSL,véhicule sanitaire léger,
Vmax,"consommation maximale d'oxygène, exprimée en L/min",V-max
aVL,dérivations électrocardiographiques unipolaires,
aVf,dérivations électrocardiographiques unipolaires,
aVr,dérivations électrocardiographiques unipolaires,
gamma-GT,gamma-glutamyl transférase,gamma-G-T
mMRC,modified Medical Research Council (échelle d'évaluation des dyspnées),
rTMS,stimulation magnétique transcrânienne,
t-PA,tissue plasminogen activator (activateur tissulaire du plasminogène),
tDCS,stimulation transcrânienne à courant direct,
u-PA,urokinase-type plasminogen activator,
